Player Name,Team,Region,Win Rate,KDA,Cpm,Gpm,Kill Participation,Most played champ,Main role,Dpm
Quas,Team Liquid,NA,73.7,4.84,5.8,326.5,76,Maokai,Top,370.7
IWDominate,Team Liquid,NA,73.7,5.63,3.2,316,76.3,Rek'sai,Jungle,227.4
FeniX,Team Liquid,NA,73.7,5.13,8.8,398.5,74.7,Azir,Mid,661.3
Piglet,Team Liquid,NA,73.7,9.91,8.7,406.4,72.7,Kalista,ADC,584.6
Xpecial,Team Liquid,NA,73.7,5.21,0.7,238.5,79.8,Annie,Support,113.1
Impact,Team Impulse,NA,68.4,5.5,6.2,346.3,72.4,"Rumble, Gnar, Maokai",Top,387.2
Rush,Team Impulse,NA,68.4,4.79,3.5,340.3,76.3,Lee Sin,Jungle,325.8
Gate,Team Impulse,NA,75,4.73,7.1,388.9,64.9,"Azir, Viktor, Orianna, Alistar",Mid,461.5
Apollo,Team Impulse,NA,68.4,7.4,8.1,401.9,75.2,Sivir,ADC,515.4
Adrian,Team Impulse,NA,68.4,5.5,0.9,257.2,81.1,Alistar,Support,94.8
ZionSpartan,Counter Logic Gaming,NA,68.4,4.2,6.3,336.1,61.1,Gnar,Top,416.7
Xmithie,Counter Logic Gaming,NA,68.4,4.91,3.4,307.2,63.5,Gragas,Jungle,205.9
Pobelter,Counter Logic Gaming,NA,68.4,4.45,7.8,376,64.3,"Twisted Fate, Azir",Mid,639.3
Doublelift,Counter Logic Gaming,NA,68.4,5,9.1,434.5,79.7,Sivir,ADC,594.2
Aphromoo,Counter Logic Gaming,NA,68.4,4.41,0.8,242.6,77.9,Alistar,Support,118.1
Hauntzer,Gravity,NA,63.2,3.96,6.7,343.3,70.2,Maokai,Top,375.3
Move,Gravity,NA,63.2,3.09,2.9,293.3,73.1,Nidalee,Jungle,232.4
Keane,Gravity,NA,63.2,3.26,7.7,362.1,70.5,Urgot,Mid,544.1
Altec,Gravity,NA,63.2,5.37,9.6,425,71.4,Sivir,ADC,594.9
Bunny FuFuu,Gravity,NA,63.2,3.93,0.8,226.8,76.1,Thresh,Support,96.1
Dyrus,Team SoloMid,NA,61.1,4.09,6.3,319.2,67,Gnar,Top,324.2
Santorin,Team SoloMid,NA,61.1,8.83,3.2,294,76.2,Gragas,Jungle,178.1
Bjergsen,Team SoloMid,NA,61.1,4.25,8.6,395,75,Azir,Mid,778.5
WildTurtle,Team SoloMid,NA,61.1,3.42,8.6,387.1,72,Kalista,ADC,401.3
LustBoy,Team SoloMid,NA,61.1,3.67,0.7,227,75.6,Annie,Support,101.9
Gamsu,Team Dignitas,NA,55.6,4.04,6.8,339.7,73.9,Hecarim,Top,337
Helios,Team Dignitas,NA,50,2.58,2.7,275.1,63.1,Rek'sai,Jungle,200.9
Shiphtur,Team Dignitas,NA,55.6,4.3,8.3,370.3,67.8,Azir,Mid,520.5
Corejj,Team Dignitas,NA,55.6,4.9,7.9,370,75.5,Corki,ADC,532.8
KiWiKiD,Team Dignitas,NA,55.6,2.84,0.8,217.5,68.6,Thresh,Support,143.5
Balls,Cloud 9,NA,36.8,2.51,6.1,309.3,69.8,Maokai,Top,309.2
Hai,Cloud 9,NA,44.4,3.22,3.9,331.6,64.6,Shyvana,Jungle,308.6
Incarnation,Cloud 9,NA,36.8,3.27,8.6,372.1,69.5,"Azir, Viktor, Orianna",Mid,566.1
Sneaky,Cloud 9,NA,36.8,3.83,8.6,384.5,78.3,"Kalista, Tristana, Ashe, Sivir",ADC,523.2
LemonNation,Cloud 9,NA,36.8,2.6,0.8,222.6,73,"Karma, Nautilus",Support,163.7
